stop_lat,stop_lon,time_slot,real_date,Count of real_date
59.43161,24.76764,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43180799,24.76786136,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43184446,24.76764901,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43188438,24.7676897,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43288126,24.76995865,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43326016,24.76887136,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43750388,24.75333452,1899-12-30 08:00:00,2016-03-31 00:00:00,45
59.43761918,24.75320621,1899-12-30 08:00:00,2016-03-31 00:00:00,45
59.43783666,24.75363492,1899-12-30 08:00:00,2016-03-31 00:00:00,45
59.43831444,24.75406749,1899-12-30 08:00:00,2016-03-31 00:00:00,45
59.43543983,24.72076811,1899-12-30 08:00:00,2016-03-31 00:00:00,44
59.43609398,24.72015961,1899-12-30 08:00:00,2016-03-31 00:00:00,44
59.44159521,24.73264103,1899-12-30 08:00:00,2016-03-31 00:00:00,44
59.44159875,24.73200328,1899-12-30 08:00:00,2016-03-31 00:00:00,44
59.40271448,24.69752027,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.40312036,24.69884898,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43646815,24.75668562,1899-12-30 08:00:00,2016-03-31 00:00:00,43
59.43686296,24.76448604,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43711317,24.76158378,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43711858,24.76220072,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43719732,24.76100408,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43720844,24.7621851,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.43741497,24.76372296,1899-12-30 08:30:00,2016-03-31 00:00:00,43
59.42121815,24.69705564,1899-12-30 08:00:00,2016-03-31 00:00:00,42
59.42222654,24.69818598,1899-12-30 08:00:00,2016-03-31 00:00:00,42
59.409208,24.73565378,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.4096782,24.73665001,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.40981744,24.73606109,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.44337336,24.75009441,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.44343881,24.75000858,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.44348507,24.75013742,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.44382436,24.75124655,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.44633431,24.75186695,1899-12-30 08:00:00,2016-03-31 00:00:00,41
59.43558353,24.75000858,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43575594,24.75094468,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43575899,24.75040946,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43603308,24.75114462,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43615673,24.7514998,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43630368,24.75226163,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43750388,24.75333452,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43761918,24.75320621,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43783666,24.75363492,1899-12-30 09:00:00,2016-03-31 00:00:00,40
59.43831444,24.75406749,1899-12-30 09:00:00,2016-03-31 00:00:00,40
