OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
3022,556.5,529.6,440.3,631.1,571,488.1,510.5,521.2,458.6,519.7,454.6,412.2,439.2,443.3,415.9,342.6,285.2,244,190.2,169.2
3023,535,518.4,420.7,601.7,556.2,470.8,474.9,506.3,431.7,493.4,432.2,384.7,411.1,420.4,390.8,327.2,271.6,243.6,184.3,167.1
3024,309.8,290.5,246.3,353.7,314.4,271,291.6,287.7,259.5,292.2,255.4,234.8,249.7,249.5,235.7,191.7,160,131.6,105.2,92.1
3025,309.9,290.7,246.5,353.9,314.6,271.1,291.7,287.9,259.7,292.3,255.5,234.9,249.8,249.6,235.8,191.8,160,131.7,105.2,92.2
3026,183,177,144,206,190,161,163,173,148,169,148,132,141,144,134,112,93,83,63,57
3027,183,177,144,206,190,161,163,173,148,169,148,132,141,144,134,112,93,83,63,57
3028,309.9,290.6,246.4,353.8,314.5,271.1,291.7,287.8,259.6,292.3,255.5,234.9,249.8,249.5,235.8,191.8,160,131.7,105.2,92.2
3029,183,177.1,144.1,206.1,190,161,163,173,148,169,148,132,141,144,134.1,112,93,83,63,57
3030,183.1,177.2,144.2,206.2,190.2,161,163.1,173.1,148.1,169.1,148.1,132.1,141.1,144.1,134.2,112.1,93.1,83.1,63.1,57.1
3031,183.4,178.1,144.9,206.9,190.8,161.1,163.4,173.3,148.3,169.7,148.5,132.4,141.5,144.3,134.9,112.3,93.7,83.5,63.5,57.4
3032,232.6,234.7,181,257.3,249,206,191.6,225,179.1,209,183.5,156.6,168.4,177.3,162,140.3,116.1,114.6,81.9,77
3033,607.5,590.4,478.6,678.5,628.2,533,538.4,571.9,490.9,559.1,491.3,439.2,465,480.2,448.6,375.4,311,280.6,211.7,192.7
3034,901.2,895.8,712.6,1007.7,948.9,791.5,776.8,856.6,714,824.6,723.7,634.6,677.4,701.7,656.7,551.6,461.3,430.6,319.1,293.5
3035,402.9,397.7,321.7,435.7,405.4,347.3,355.8,368.8,328.5,367.9,328.4,300,304.2,328,315.4,261.7,215.8,199,148.7,137.6
3036,352.4,345.4,282.1,400.7,368.4,308.3,315.2,332,285.2,328.1,286.9,255.7,273.9,277.3,263.4,216,182.7,162,124.2,111.6
3037,427.3,427.6,338,476.7,451.7,375.3,364.7,407,336.5,389.8,342.3,298.6,318.7,331.6,310.4,261.4,218.8,206.9,152.2,140.7
3038,521.1,529,406.9,558.7,544.1,456.1,427.5,493.4,404.6,463.6,412.7,359.5,371.7,407.7,378.8,327.7,267.9,268.9,190.4,181.6
3039,474.1,463.9,374.6,508.1,473.6,409.8,418.1,434,387.1,430.6,385.2,353,356,387.1,368.1,308.8,251.5,232.9,173,160.8
3040,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3041,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3042,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3043,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3044,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
