time_slot,stop name,sum_all,lat,long,CellID
5:00:00 PM,Paljassaare,3,59.459988085,24.70390148,4975
5:00:00 PM,Paljassaare põik,1,59.46496622,24.6995782,4976
5:00:00 PM,Pallasti,2,59.4333814,24.797535495,5258
5:00:00 PM,Paneeli,4,59.42832425,24.869628155,3923
5:00:00 PM,Pelguranna,22,59.44684242,24.69105945,4829
5:00:00 PM,Peterburi tee,11,59.42469355,24.78641897,4177
5:00:00 PM,Pidu,1,59.38323655,24.66332907,3547
5:00:00 PM,Pihlaka,36,59.37393213,24.717976625,3204
5:00:00 PM,Pikamägi,3,59.4344565525,24.867773135,3924
5:00:00 PM,Pikri,53,59.436367625,24.84690717,5194
5:00:00 PM,Pirita,9,59.46696722,24.833243135,5172
5:00:00 PM,Pirni,33,59.429323065,24.69895755,4968
5:00:00 PM,Priisle,23,59.4469276817,24.895798965,4898
5:00:00 PM,Priisle kauplus,47,59.44942307,24.88067734,4664
5:00:00 PM,Pronksi,69,59.4371525733,24.7625304467,3121
5:00:00 PM,Punane,13,59.432315325,24.81911402,5059
5:00:00 PM,Põhja puiestee,32,59.443767388,24.743550614,3171
5:00:00 PM,Pärnu maantee,30,59.35985799,24.630142685,3635
5:00:00 PM,Püssirohu,19,59.42787325,24.765155965,3119
5:00:00 PM,Raadiku,10,59.44166827,24.8800323667,4662
5:00:00 PM,Raadikusilla,8,59.44218299,24.88337921,3881
5:00:00 PM,Raba,4,59.36593924,24.64323338,3604
5:00:00 PM,Rahumäe,8,59.388801005,24.7032915483,4959
5:00:00 PM,Raja,52,59.39720812,24.663505385,3551
5:00:00 PM,Randla,12,59.44856307,24.69160661,4829
5:00:00 PM,Raudtee,2,59.383005045,24.6717967,2465
5:00:00 PM,Rauna,12,59.445042095,24.890056995,3882
5:00:00 PM,Reidumägi,1,59.452550985,24.890110545,3883
5:00:00 PM,Reinu,24,59.446365315,24.88619446,3882
5:00:00 PM,Reisisadam,9,59.444496575,24.75964415,3122
5:00:00 PM,Reisisadam D-terminal,4,59.442814978,24.765345232,3122
5:00:00 PM,Retke tee,32,59.40293408,24.7068317875,2966
5:00:00 PM,Risti,54,59.3918815167,24.7220749967,4380
5:00:00 PM,Ristiku,22,59.4335665,24.72025282,3218
5:00:00 PM,Roheline,4,59.386461055,24.691722845,4775
5:00:00 PM,Rohula,2,59.3654961125,24.630652475,4601
5:00:00 PM,Rukkilille,5,59.4135713,24.640252895,2411
5:00:00 PM,Rummu,13,59.463937775,24.828221345,3804
5:00:00 PM,Rummukõrtsi,9,59.46217222,24.82490086,3897
5:00:00 PM,Ruunaoja,3,59.4159416333,24.8452123967,5101
5:00:00 PM,Räga,1,59.428150035,24.62566544,3586
5:00:00 PM,Räägu,19,59.414591095,24.71832635,3214
5:00:00 PM,Saare,1,59.458553305,24.82006641,3896
5:00:00 PM,Sabatähe,15,59.4413,24.85843,3697
5:00:00 PM,Salve,4,59.38139,24.66377,3547
5:00:00 PM,Sarapuu,5,59.45894633,24.835382905,5171
5:00:00 PM,Seli,13,59.4447218033,24.89712986,4897
5:00:00 PM,Sepa,14,59.4603277333,24.6706206633,3566
5:00:00 PM,Siili,66,59.40802361,24.703546035,4963
5:00:00 PM,Silde,18,59.4294361,24.840457275,5104
5:00:00 PM,Sinilille,48,59.419667806,24.644580364,3616
5:00:00 PM,Sipelga,6,59.406658765,24.69432077,4793
5:00:00 PM,Sirbi,42,59.4549167675,24.68161431,2483
5:00:00 PM,Sitsi,42,59.453191425,24.70372943,4973
5:00:00 PM,Sossimägi,15,59.42509842,24.7831298333,4184
5:00:00 PM,Szolnok,88,59.404828125,24.676102115,3555
5:00:00 PM,Supelranna,13,59.44410191,24.68813084,4828
5:00:00 PM,Supluse puiestee,8,59.47071099,24.8353026,5173
5:00:00 PM,Suur-Sõjamäe,5,59.41662312,24.83843545,5101
5:00:00 PM,Sõjakooli,37,59.402416515,24.717863775,3211
5:00:00 PM,Sõjamäe,3,59.41604,24.86534,3920
5:00:00 PM,Sõjamäe raba,34,59.430485215,24.834293425,5143
5:00:00 PM,Sõle,17,59.43311,24.71573,3218
5:00:00 PM,Sõstramäe,7,59.426254,24.867064895,3922
5:00:00 PM,Sääse,37,59.411226405,24.68778123,4794
5:00:00 PM,Zoo,19,59.426273925,24.65833406,3338
5:00:00 PM,Taevakivi,61,59.44182954,24.86336736,3697
5:00:00 PM,Taksopark,296,59.427377765,24.72073048,3216
5:00:00 PM,Tallinn-Väike,71,59.4140117689,24.7414589156,3164
5:00:00 PM,Tamme,1,59.45778527,24.824464235,3896
5:00:00 PM,Tedre,42,59.41954946,24.712792905,3017
5:00:00 PM,Tehnika,18,59.43416962,24.72485601,4390
5:00:00 PM,Tehnikaülikool,41,59.395075795,24.67328455,3553
5:00:00 PM,Teletorn,9,59.47253317,24.88451485,3799
5:00:00 PM,Telliskivi,83,59.4386819425,24.7263930075,4391
5:00:00 PM,Tervise,10,59.39701213,24.69875059,4961
5:00:00 PM,Tihase,6,59.42272214,24.71538913,3215
5:00:00 PM,Tondi,13,59.4109836167,24.7331748983,4341
5:00:00 PM,Tondi mägi,9,59.454684245,24.884596375,3884
5:00:00 PM,Tornimäe,1,59.43340428,24.761060015,3120
5:00:00 PM,Trummi,7,59.39268078,24.663214085,3550
5:00:00 PM,Tubaka,8,59.41917361,24.830842365,5141
5:00:00 PM,Tuisu,15,59.400837475,24.711090295,2965
5:00:00 PM,Turbasambla,2,59.356536795,24.611085825,4262
5:00:00 PM,Tuule tee,2,59.49209903,24.829475495,3806
5:00:00 PM,Tõnismägi,100,59.4312664767,24.7373653867,4345
5:00:00 PM,Tähesaju tee,18,59.44357,24.860619995,3697
5:00:00 PM,Tähetorni,2,59.38649374,24.64649138,3608
5:00:00 PM,Tüve,133,59.405485,24.709675,7202
5:00:00 PM,Urva,8,59.45825529,24.83038425,5170
5:00:00 PM,Ussimäe tee,22,59.44894326,24.891286975,4898
5:00:00 PM,Uus Maailm,1,59.42667,24.74168,3167
5:00:00 PM,Uuslinn,2,59.43803434,24.80222745,5148
5:00:00 PM,Uus-Pae,17,59.4353682867,24.81729537,5059
5:00:00 PM,Uus-Sadama,58,59.439053095,24.776792825,4187
5:00:00 PM,Vabaduse väljak,467,59.4329176169,24.7450423331,3169
5:00:00 PM,Valdeku,13,59.3805504167,24.6997981833,4957
5:00:00 PM,Vambola,46,59.39972285,24.689449475,4791
5:00:00 PM,Vana-Kuuli,19,59.443475215,24.828902335,5146
5:00:00 PM,Vana-Pääsküla,12,59.3553822633,24.63060865,3634
5:00:00 PM,Varraku,18,59.438466935,24.851285985,5194
5:00:00 PM,Varre,3,59.41903458,24.7524454167,2999
5:00:00 PM,Veerenni,52,59.4251117125,24.7485725225,3167
5:00:00 PM,Veskiposti,3,59.42102985,24.76418141,3117
5:00:00 PM,Vesse,3,59.426802895,24.8310997117,5142
5:00:00 PM,Vesse parkla,8,59.428829645,24.83701484,5104
5:00:00 PM,Vihuri,36,59.44395081,24.69468493,4828
5:00:00 PM,Vikerkaare,7,59.36762842,24.65112664,3325
5:00:00 PM,Vilja,2,59.412614075,24.70878388,3015
5:00:00 PM,Vineeri,22,59.4234935033,24.7431404267,3167
5:00:00 PM,Virbi,2,59.443008875,24.847169875,5195
5:00:00 PM,Virmalise,2,59.42130043,24.73714929,4343
5:00:00 PM,Viru,103,59.4359319917,24.751044795,3035
5:00:00 PM,Viru keskus 1,64,59.43579651,24.7564031,3035
5:00:00 PM,Viru keskus 2,15,59.43594756,24.75667409,3035
5:00:00 PM,Viru keskus 3,128,59.43605217,24.75643519,3035
5:00:00 PM,Viru keskus 4,62,59.43621214,24.75671519,3035
5:00:00 PM,Viru keskus 5,42,59.43646815,24.75668562,3035
5:00:00 PM,Viru keskus 6,20,59.4366703,24.75665485,21216
5:00:00 PM,Virve,30,59.39767196,24.7260915,4382
5:00:00 PM,Volta,52,59.446735645,24.72368606,4393
5:00:00 PM,Võsu,11,59.386118245,24.67739204,2466
5:00:00 PM,Väike-Paala,37,59.4264199025,24.80813152,5467
5:00:00 PM,Väike-Õismäe,87,59.412546385,24.638728005,2411
5:00:00 PM,Väike-Õismäe parkla,10,59.412968175,24.635507095,2411
5:00:00 PM,Välja,67,59.42531798,24.70091813,4967
